MONTH_MON,YEAR,APT_NAME,STATE_NAME,FLT_TOT_1
APR,2019,Kerry - Farranfore,Ireland,352
APR,2019,Khania - Souda,Greece,1684
APR,2019,Kiev - Boryspil,Ukraine,8695
APR,2019,Kirkenes Høybuktmoen,Norway,615
APR,2019,Kos,Greece,750
APR,2019,Krakow - Balice,Poland,5094
APR,2019,Kristiansand Kjevik,Norway,1255
APR,2019,Kristiansund Kvernberget,Norway,657
APR,2019,Lakselv Banak,Norway,178
APR,2019,Leknes,Norway,476
APR,2019,Lelystad,Netherlands,387
APR,2019,Lodz - Lublinek,Poland,305
APR,2019,London - City,United Kingdom,7087
APR,2019,London - Gatwick,United Kingdom,24003
APR,2019,London - Heathrow,United Kingdom,40438
APR,2019,London - Luton,United Kingdom,11946
APR,2019,London - Stansted,United Kingdom,16710
APR,2019,Londonderry - Eglinton,United Kingdom,251
APR,2019,Lublin,Poland,263
APR,2019,Maastricht-Aachen,Netherlands,883
APR,2019,Manchester,United Kingdom,16544
APR,2019,Mehamn,Norway,181
APR,2019,Mikonos,Greece,707
APR,2019,Mo i Rana Røssvoll,Norway,438
APR,2019,Molde Årø,Norway,466
APR,2019,Mosjøen Kjærstad,Norway,275
APR,2019,Namsos Høknesøra,Norway,209
APR,2019,Newcastle,United Kingdom,3333
APR,2019,Olsztyn-Mazury,Poland,118
APR,2019,Orsta¿Volda Hovden,Norway,394
APR,2019,Oslo - Gardermoen,Norway,19672
APR,2019,Poznan - Lawica,Poland,1754
APR,2019,Radom,Poland,29
APR,2019,Rodos,Greece,1906
APR,2019,Roros,Norway,117
APR,2019,Rorvik Ryum,Norway,175
APR,2019,Rost,Norway,104
APR,2019,Rotterdam,Netherlands,2152
APR,2019,Rzeszow - Jasionka,Poland,685
APR,2019,Sandane  Anda,Norway,197
APR,2019,Sandnessjøen Stokka,Norway,323
APR,2019,Santorini,Greece,1444
APR,2019,Shannon,Ireland,1647
APR,2019,Skiathos,Greece,91
APR,2019,Sligo,Ireland,6
APR,2019,Sogndal Haukåsen,Norway,402
APR,2019,Sorkjosen,Norway,144
APR,2019,Southampton,United Kingdom,2900
APR,2019,Stavanger,Norway,5098
APR,2019,Stockholm - Arlanda,Sweden,18847
APR,2019,Stockholm - Bromma,Sweden,4414
APR,2019,Stokmarknes Skagen,Norway,434
APR,2019,Svalbard Longyear,Norway,193
APR,2019,Svolvær Helle,Norway,326
APR,2019,Szczecin - Goleniów,Poland,486
APR,2019,Thessaloniki,Greece,4395
APR,2019,Tromsø,Norway,3150
APR,2019,Trondheim,Norway,3989
APR,2019,Vadsø,Norway,547
APR,2019,Vardø Svartnes,Norway,183
APR,2019,Værøy,Norway,97
APR,2019,Warszawa - Chopina,Poland,15755
APR,2019,Warszawa - Modlin,Poland,1733
APR,2019,Waterford,Ireland,23
APR,2019,Weston,Ireland,99
APR,2019,Wroclaw - Strachowice,Poland,2451
APR,2019,Yerevan,Armenia,1612
APR,2019,Zakinthos,Greece,276
APR,2019,Zielona Gora - Babimost,Poland,78
APR,2020,Aberdeen,United Kingdom,933
APR,2020,Aktion,Greece,54
APR,2020,Alesund,Norway,435
APR,2020,Alta,Norway,429
APR,2020,Amsterdam - Schiphol,Netherlands,4553
APR,2020,Andenes,Norway,192
APR,2020,Athens,Greece,2593
APR,2020,Bardufoss,Norway,114
APR,2020,Batsfjord,Norway,160
APR,2020,Belfast - Aldergrove,United Kingdom,537
APR,2020,Belfast - City Airport,United Kingdom,74
APR,2020,Bergen,Norway,3448
APR,2020,Berlevåg,Norway,4
APR,2020,Biggin Hill,United Kingdom,420
APR,2020,Birmingham,United Kingdom,333
APR,2020,Bodø,Norway,1413
APR,2020,Bristol,United Kingdom,167
APR,2020,Bronnoysund Bronnoy,Norway,486
APR,2020,Bydgoszcz,Poland,60
APR,2020,Connaught,Ireland,4
APR,2020,Corfu,Greece,123
APR,2020,Cork,Ireland,165
APR,2020,Donegal,Ireland,65
APR,2020,Dublin,Ireland,1992
APR,2020,East Midlands,United Kingdom,2373
APR,2020,Edinburgh,United Kingdom,679
APR,2020,Farnborough,United Kingdom,293
APR,2020,Florø,Norway,436
APR,2020,Gdansk,Poland,194
APR,2020,Glasgow,United Kingdom,466
APR,2020,Groningen,Netherlands,124
APR,2020,Göteborg,Sweden,372
APR,2020,Hammerfest,Norway,651
APR,2020,Harstad - Narvik Evenes,Norway,344
APR,2020,Haugesund,Norway,162
APR,2020,Helsinki - Vantaa,Finland,1716
APR,2020,Heraklion,Greece,309
APR,2020,Honningsvåg Valan,Norway,149
APR,2020,Katowice - Pyrzowice,Poland,252
APR,2020,Kefallinia,Greece,65
APR,2020,Kerry - Farranfore,Ireland,114
APR,2020,Khania - Souda,Greece,263
APR,2020,Kiev - Boryspil,Ukraine,515
APR,2020,Kirkenes Høybuktmoen,Norway,417
APR,2020,Kos,Greece,121
APR,2020,Krakow - Balice,Poland,258
APR,2020,Kristiansand Kjevik,Norway,377
APR,2020,Kristiansund Kvernberget,Norway,751
APR,2020,Lakselv Banak,Norway,171
APR,2020,Leknes,Norway,431
APR,2020,Lelystad,Netherlands,43
APR,2020,Lodz - Lublinek,Poland,100
APR,2020,London - Gatwick,United Kingdom,313
APR,2020,London - Heathrow,United Kingdom,5298
APR,2020,London - Luton,United Kingdom,730
APR,2020,London - Stansted,United Kingdom,1808
APR,2020,Londonderry - Eglinton,United Kingdom,59
APR,2020,Lublin,Poland,7
APR,2020,Maastricht-Aachen,Netherlands,344
APR,2020,Manchester,United Kingdom,706
APR,2020,Mehamn,Norway,173
APR,2020,Mikonos,Greece,59
APR,2020,Mo i Rana Røssvoll,Norway,60
APR,2020,Molde Årø,Norway,211
APR,2020,Mosjøen Kjærstad,Norway,20
APR,2020,Namsos Høknesøra,Norway,84
APR,2020,Newcastle,United Kingdom,56
APR,2020,Olsztyn-Mazury,Poland,23
APR,2020,Orsta¿Volda Hovden,Norway,202
APR,2020,Oslo - Gardermoen,Norway,4349
APR,2020,Poznan - Lawica,Poland,202
APR,2020,Rodos,Greece,250
APR,2020,Roros,Norway,161
APR,2020,Rorvik Ryum,Norway,90
APR,2020,Rost,Norway,80
APR,2020,Rotterdam,Netherlands,171
APR,2020,Rzeszow - Jasionka,Poland,50
APR,2020,Sandnessjøen Stokka,Norway,233
APR,2020,Santorini,Greece,70
APR,2020,Shannon,Ireland,326
APR,2020,Skiathos,Greece,28
APR,2020,Sogndal Haukåsen,Norway,306
APR,2020,Sorkjosen,Norway,6
APR,2020,Southampton,United Kingdom,173
APR,2020,Stavanger,Norway,2259
APR,2020,Stockholm - Arlanda,Sweden,2057
APR,2020,Stockholm - Bromma,Sweden,287
